TYPE;CODE;LIB;extension;cma_niv;cma;cmas;cmas_nt;code_imprecis;interdits_en_DP;interdits_en_DR;requerant_un_DR;ssrFP;ssrMP;ssrAE;ssrDAS;ssrZ_CMC;pmsi;MAJ;auteur_MAJ;remarque1;_009_EXT__LIB__finvalid__doublon
D;A000;holéra à Vibrio cholerae 01, biovar cholerae;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A001;holéra à Vibrio cholerae 01, biovar El Tor;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A009;holéra, sans précision;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A010;ièvre typhoïde;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A011;aratyphoïde A;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A012;aratyphoïde B;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A013;aratyphoïde C;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A014;aratyphoïde, sans précision;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A020;ntérite à Salmonella;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A021;epticémie à Salmonella;0;3;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A022;nfection localisée à Salmonella;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A028;utres infections précisées à Salmonella;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A029;almonellose, sans précision;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A030;higellose à Shigella dysenteriae;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A031;higellose à Shigella flexneri;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A032;higellose à Shigella boydii;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A033;higellose à Shigella sonnei;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A038;utres shigelloses;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A039;higellose, sans précision;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A040;nfection entéropathogène à Escherichia coli;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A041;nfection entérotoxigène à Escherichia coli;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A042;nfection entéro-invasive à Escherichia coli;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A043;nfection entéro-hémorragique à Escherichia coli;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A044;utres infections intestinales à Escherichia coli;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A045;ntérite à Campylobacter;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A046;ntérite à Yersinia enterocolitica;0;2;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A047;ntérocolite à Clostridium difficile;0;4;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A048;utres infections intestinales bactériennes précisées;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A049;nfection intestinale bactérienne, sans précision;0;;0;0;0;1;1;1;0;;;;;;O;25/6/09;JF;09/02/07: dpimp dpint;
D;A050;ntoxication alimentaire à staphylocoques;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A051;otulisme;0;4;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A052;ntoxication alimentaire à Clostridium perfringens [Clostridium welchii];0;4;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A053;ntoxication alimentaire à Vibrio parahaemolyticus;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A054;ntoxication alimentaire à Bacillus cereus;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A058;utres intoxications bactériennes d'origine alimentaire précisées;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
D;A059;ntoxication bactérienne d'origine alimentaire, sans précision;0;;0;0;0;0;0;0;0;;;;;;O;25/6/09;JF;;
